lh_bank_of_the_superior_temporal_sulcus	-56	-44	5
lh_caudal_anterior_cingulate	-2	21	27
lh_caudal_middle_frontal_gyrus	-45	18	46
lh_cuneus	-1	-82	20
lh_entorhinal	-16	-10	-29
lh_fusiform	-24	-54	-16
lh_inferior_parietal_lobule	-47	-70	31
lh_inferior_temporal_gyrus	-56	-32	-24
lh_isthmus_cingulate_cortex	-1	-48	25
lh_lateral_occipital_gyrus	-43	-87	1
lh_lateral_orbitofrontal	-35.98	30.71	-12.11
lh_lingual	-3	-73	-1
lh_medial_orbitofrontal	-4	44	-14
lh_middle_temporal_gyrus	-68	-29	-13
lh_parahippocampal	-18	-30	-18
lh_paracentral	-3	-28	62
lh_pars_opercularis	-57	22	18
lh_pars_orbitalis	-44	48	-13
lh_pars_triangularis	-50	35	3
lh_pericalcarine	-12	-89	3
lh_postcentral	-50	-26	58
lh_posterior_cingulate_cortex	-1	-18	38
lh_precentral	-44	-12	59
lh_precuneus	-9	-59	46
lh_rostral_anterior_cingulate_cortex	-2	39	6
lh_rostral_middle_frontal_gyrus	-34	53	17
lh_superior_frontal_gyrus	-21	38	50
lh_superior_parietal_lobule	-25	-62	63
lh_superior_temporal_gyrus	-63	-7	-1
lh_supramarginal_gyrus	-60	-41	39
lh_frontal_pole	-9	65	-12
lh_temporal_pole	-26	15	-35
lh_transverse_temporal	-49	-23	9
lh_insula	-41	13	-6
rh_bank_of_the_superior_temporal_sulcus	50	-42	6
rh_caudal_anterior_cingulate	3	21	27
rh_caudal_middle_frontal_gyrus	43	14	43
rh_cuneus	3	-81	19
rh_entorhinal	21	-4	-32
rh_fusiform	33	-52	-19
rh_inferior_parietal_lobule	48	-67	29
rh_inferior_temporal_gyrus	61	-31	-27
rh_isthmus_cingulate_cortex	1	-48	26
rh_lateral_occipital_gyrus	38	-88	1
rh_lateral_orbitofrontal	20	38	-21
rh_lingual	5	-69	-1
rh_medial_orbitofrontal	7	45	-13
rh_middle_temporal_gyrus	69	-24	-14
rh_parahippocampal	20	-29	-17
rh_paracentral	4	-25	61
rh_pars_opercularis	57	15	17
rh_pars_orbitalis	49	40	-13
rh_pars_triangularis	55	31	5
rh_pericalcarine	14	-85	5
rh_postcentral	51	-23	56
rh_posterior_cingulate_cortex	1	-16	37
rh_precentral	47	-9	54
rh_precuneus	7	-57	41
rh_rostral_anterior_cingulate_cortex	4	38	4
rh_rostral_middle_frontal_gyrus	43	45	21
rh_superior_frontal_gyrus	16	34	53
rh_superior_parietal_lobule	17	-65	59
rh_superior_temporal_gyrus	67	-12	-1
rh_supramarginal_gyrus	65	-36	35
rh_frontal_pole	9	64	-13
rh_temporal_pole	37	21	-38
rh_transverse_temporal	45	-25	11
rh_insula	43	12	-6
